address,lat,long,cluster_label
"Craig Road, Singapore",1.278432375327316,103.84190126144756,-1
"Jalan Novena Barat, Singapore",1.3230320739193149,103.84230759516572,1
"Ipoh Lane, Singapore",1.3117322448230055,103.89537156275256,-1
"Fernhill Road, Singapore",1.3132929189863705,103.82354967672096,2
"Upper Bukit Timah Road, Singapore",1.3389979957941665,103.77686460571869,-1
"Boon Teck Road, Singapore",1.3271913555291457,103.85029405869898,5
"Fernvale Close, Singapore",1.3944347032734177,103.88014161221776,0
"Cashew Road, Singapore",1.3707129071239967,103.76612626250282,-1
"Leicester Road, Singapore",1.3300236111180936,103.86727718350816,5
"West Coast Way, Singapore",1.316130392358066,103.75571317781724,3
"North Bridge Road, Singapore",1.2992191742769412,103.85588069620046,-1
"Mistri Road, Singapore",1.2739719011796518,103.84607576186788,2
"Petir Road, Singapore",1.3778529785622808,103.76355773644195,1
"Kampong Eunos, Singapore",1.3208300000000577,103.91778000000004,2
"Ah Hood Road, Singapore",1.3281638285720323,103.84758409323636,5
"Bedok Ria Crescent, Singapore",1.3274974752632722,103.9519717323789,0
"Tampines Road, Singapore",1.362349384633056,103.89247372927724,3
"Keppel Road, Singapore",1.2724179759153582,103.83980755931988,2
"Rhu Cross, Singapore",1.293315850718225,103.87097797242954,0
"Jervois Road, Singapore",1.2947082149619402,103.81966100909372,0
"Hougang Avenue , Singapore",1.371240000000057,103.89162000000005,2
"Hume Avenue, Singapore",1.3577564568859652,103.7666151860816,2
"Tan Kim Cheng Road, Singapore",1.3217633958273942,103.8120821832612,-1
"Kim Tian Road, Singapore",1.2847827282975044,103.82946256040633,1
"Duchess Road, Singapore",1.323634102691804,103.8074024820244,-1
"Dunearn Road, Singapore",1.3179635476567024,103.83494065606943,-1
"Sing Joo Walk, Singapore",1.314906597284086,103.85497875225497,5
"Jalan Kemaman, Singapore",1.326768630038309,103.850648305125,5
"Sin Ming Road, Singapore",1.355700150466888,103.83760870868343,1
"Lorong Marican, Singapore",1.3223560747877026,103.90833634859572,2
"Bedok North Drive, Singapore",1.3253990940850275,103.92887049221883,1
"Surrey Road, Singapore",1.3160018633676276,103.84238096277689,5
"Arnasalam Chetty Road, Singapore",1.291692748801644,103.83863819010492,-1
"Kim Seng Road, Singapore",1.2927264114674004,103.83323051234572,4
"Mount Emily Road, Singapore",1.3047328390672477,103.84861487008084,2
"Sarkies Road, Singapore",1.3141624728749337,103.83670092273348,5
"Cactus Road, Singapore",1.3900525527429886,103.850885815444,2
"Race Course Lane, Singapore",1.3103542835092112,103.85236119034596,-1
"Lorong How Sun, Singapore",1.3443678888120578,103.8804738966533,2
"Yuan Ching Road, Singapore",1.3357100491464942,103.72507795318454,0
"Fernvale Lane, Singapore",1.3895526196603711,103.87012776484276,2
"Cuscaden Road, Singapore",1.3048419818084789,103.82595782411973,-1
"Ridley Park, Singapore",1.2972165277680432,103.81400285466292,0
"Fernvale Road, Singapore",1.3932974872195731,103.87582716866856,-1
"Choa Chu Kang Loop, Singapore",1.3852416449722773,103.74311973837916,2
"Verdun Road, Singapore",1.309797615454927,103.85597508753511,1
"Kinta Road, Singapore",1.3106783160878264,103.8528447517407,-1
"Draycott Park, Singapore",1.311254130086895,103.83083159211796,4
"Opal Crescent, Singapore",1.3280120747976278,103.86692733199511,5
"Pasir Panjang Close, Singapore",1.2919672284913244,103.77213393336858,-1
"Siglap Road, Singapore",1.3152189731264237,103.92266448199828,1
"Bukit Drive, Singapore",1.3474192610227504,103.7750886479526,0
"Indus Road, Singapore",1.2900287976638232,103.82959622552298,2
"Owen Road, Singapore",1.3117800147765843,103.854670417098,2
"Minbu Road, Singapore",1.3242426562890393,103.84921287359288,2
"Tiong Bahru Road, Singapore",1.2859017184788908,103.83038148406422,1
