pk,category,subid,main_category
83,Bar,4bf58dd8d48988d116941735,Nightlife Spot
83,Chinese Restaurant,4bf58dd8d48988d145941735,Food
83,Cocktail Bar,4bf58dd8d48988d11e941735,Nightlife Spot
83,Dumpling Restaurant,4bf58dd8d48988d108941735,Food
83,Japanese Restaurant,4bf58dd8d48988d111941735,Food
83,Cocktail Bar,4bf58dd8d48988d11e941735,Nightlife Spot
83,Electronics Store,4bf58dd8d48988d122951735,Shop & Service
83,Bistro,52e81612bcbc57f1066b79f1,Food
83,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
83,Wine Bar,4bf58dd8d48988d123941735,Nightlife Spot
83,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
83,Pool,4bf58dd8d48988d15e941735,Outdoors & Recreation
83,Hotel,4bf58dd8d48988d1fa931735,Not A Match
83,Hotpot Restaurant,52af0bd33cf9994f4e043bdd,Food
83,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
83,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
83,Paper / Office Supplies Store,4bf58dd8d48988d121951735,Shop & Service
83,Hotel,4bf58dd8d48988d1fa931735,Not A Match
83,Hotpot Restaurant,52af0bd33cf9994f4e043bdd,Food
83,Tea Room,4bf58dd8d48988d1dc931735,Food
83,Cosmetics Shop,4bf58dd8d48988d10c951735,Shop & Service
83,Pizza Place,4bf58dd8d48988d1ca941735,Food
83,Dumpling Restaurant,4bf58dd8d48988d108941735,Food
83,Beer Garden,4bf58dd8d48988d117941735,Nightlife Spot
83,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
83,Dessert Shop,4bf58dd8d48988d1d0941735,Food
83,Shoe Store,4bf58dd8d48988d107951735,Shop & Service
83,Hotel,4bf58dd8d48988d1fa931735,Not A Match
83,Coffee Shop,4bf58dd8d48988d1e0931735,Food
83,Japanese Restaurant,4bf58dd8d48988d111941735,Food
84,Coffee Shop,4bf58dd8d48988d1e0931735,Food
84,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food
84,Chinese Restaurant,4bf58dd8d48988d145941735,Food
84,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
84,Korean Restaurant,4bf58dd8d48988d113941735,Food
84,Food Court,4bf58dd8d48988d120951735,Food
84,Noodle House,4bf58dd8d48988d1d1941735,Food
84,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
84,Wine Bar,4bf58dd8d48988d123941735,Nightlife Spot
84,Bubble Tea Shop,52e81612bcbc57f1066b7a0c,Food
84,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,Food
84,Chinese Restaurant,4bf58dd8d48988d145941735,Food
84,Kids Store,4bf58dd8d48988d105951735,Shop & Service
84,Dessert Shop,4bf58dd8d48988d1d0941735,Food
